way_id,start,end
4597324,13.380230_52.513503,13.380754_52.512528
4597324,13.380754_52.512528,13.380761_52.512506
4597324,13.380761_52.512506,13.380783_52.512429
4597324,13.380783_52.512429,13.380795_52.512401
4597324,13.380795_52.512401,13.380804_52.512354
4597324,13.380804_52.512354,13.380852_52.512076
4597324,13.380852_52.512076,13.380871_52.511965
4597324,13.380871_52.511965,13.380978_52.511203
4610374,13.389555_52.524407,13.389554_52.524376
4610374,13.389554_52.524376,13.389674_52.523947
4610374,13.389674_52.523947,13.389703_52.523842
4610374,13.389703_52.523842,13.389707_52.523818
4610374,13.389707_52.523818,13.389746_52.523555
4610374,13.389746_52.523555,13.389755_52.523472
4610375,13.392622_52.523544,13.392250_52.523580
4610375,13.392250_52.523580,13.392117_52.523557
4610472,13.391034_52.522103,13.390879_52.522099
4610472,13.390879_52.522099,13.390605_52.522088
4610472,13.390605_52.522088,13.390480_52.522083
4610472,13.390480_52.522083,13.390109_52.522068
4610472,13.390109_52.522068,13.389777_52.522053
4610472,13.389777_52.522053,13.389377_52.522035
4610476,13.394764_52.520787,13.394690_52.520752
4610476,13.394690_52.520752,13.394664_52.520739
4610476,13.394664_52.520739,13.394648_52.520731
4610476,13.394648_52.520731,13.393720_52.520287
4610476,13.393720_52.520287,13.393698_52.520276
4610476,13.393698_52.520276,13.393530_52.520195
4610476,13.393530_52.520195,13.393467_52.520175
4610476,13.393467_52.520175,13.393399_52.520160
4610476,13.393399_52.520160,13.393208_52.520147
4610479,13.393630_52.519760,13.394611_52.519879
4610479,13.394611_52.519879,13.395402_52.519970
4610479,13.395402_52.519970,13.395596_52.520062
4610479,13.395596_52.520062,13.395695_52.520109
4610527,13.395299_52.518390,13.395243_52.518647
4610527,13.395243_52.518647,13.395219_52.518757
4610527,13.395219_52.518757,13.395059_52.518744
4610527,13.395059_52.518744,13.395083_52.518634
4610527,13.395083_52.518634,13.395138_52.518379
4611706,11.922239_52.220502,11.923755_52.220806
4611706,11.918865_52.243115,11.918842_52.243111
4611706,14.863513_52.811181,14.865503_52.801272
4611706,14.865503_52.801272,14.869973_52.777358
4611706,14.869973_52.777358,14.872237_52.763902
4611708,13.393178_52.514104,13.393674_52.514123
4611708,13.393674_52.514123,13.394640_52.514159
4611708,13.394640_52.514159,13.395483_52.514191
4611708,13.395483_52.514191,13.396873_52.514342
4611708,13.396873_52.514342,13.396955_52.514349
4611710,13.395586_52.513344,13.395321_52.513349
4611710,13.395321_52.513349,13.395061_52.513335
4611710,13.395061_52.513335,13.394300_52.513289
4611710,13.394300_52.513289,13.393319_52.513231
4675999,13.364130_52.524840,13.364148_52.524819
4675999,13.364148_52.524819,13.364205_52.524747
4675999,13.364205_52.524747,13.364233_52.524713
4675999,13.364233_52.524713,13.364256_52.524685
4675999,13.364256_52.524685,13.364610_52.524248
4675999,13.364610_52.524248,13.364779_52.524210
4675999,13.364779_52.524210,13.365107_52.524473
4675999,13.365107_52.524473,13.365436_52.524712
4675999,13.365436_52.524712,13.365620_52.524832
4675999,13.365620_52.524832,13.365669_52.524869
4675999,13.365669_52.524869,13.365713_52.524913
4675999,13.365713_52.524913,13.365771_52.524951
4675999,13.365771_52.524951,13.365852_52.524982
4675999,13.365852_52.524982,13.365892_52.524995
4675999,13.365892_52.524995,13.365956_52.525015
4675999,13.365956_52.525015,13.366058_52.525041
4676001,13.365324_52.527458,13.365400_52.527368
4676002,13.367196_52.527245,13.367145_52.527228
4676002,13.367145_52.527228,13.367118_52.527219
4676002,13.367118_52.527219,13.367162_52.527153
4676002,13.367162_52.527153,13.367140_52.527147
4676003,13.366556_52.525948,13.366542_52.525964
4676003,13.366542_52.525964,13.366578_52.525975
4676004,13.365860_52.526825,13.365894_52.526832
4676004,13.365894_52.526832,13.365930_52.526832
4676004,13.365930_52.526832,13.365964_52.526827
4676004,13.365964_52.526827,13.365995_52.526817
4676004,13.365995_52.526817,13.366016_52.526804
4676004,13.366016_52.526804,13.366032_52.526789
4676004,13.366032_52.526789,13.366043_52.526767
4676004,13.366043_52.526767,13.366043_52.526743
4676004,13.366043_52.526743,13.366037_52.526728
4676004,13.366037_52.526728,13.366027_52.526715
4676004,13.366027_52.526715,13.366005_52.526698
4676004,13.366005_52.526698,13.365977_52.526686
4676004,13.365977_52.526686,13.365953_52.526680
