from_id,to_id,way_id,highway_type,way_name,length
13.2439_52.5436,13.2432_52.543,24033317,residential,Feldzeugmeisterstraße,0.000922
13.2439_52.5436,13.2441_52.5435,30216111,residential,Hunckemüllerweg,0.000224
13.2432_52.543,13.2432_52.5429,24033317,residential,Feldzeugmeisterstraße,0.000100
13.2432_52.543,13.2433_52.5429,761616014,service,,0.000141
13.2432_52.5429,13.2427_52.5425,24033317,residential,Feldzeugmeisterstraße,0.000640
13.2427_52.5425,13.2423_52.5424,24033317,residential,Feldzeugmeisterstraße,0.000412
13.2423_52.5424,13.2427_52.5419,27058055,residential,Gorgasring,0.000640
13.2423_52.5424,13.2417_52.5433,1269165580,residential,Riensbergstraße,0.001082
13.2339_52.5405,13.2338_52.5405,24033320,residential,Faucherweg,0.000100
13.2339_52.5405,13.234_52.5404,27058051,residential,Gorgasring,0.000141
13.2338_52.5405,13.2337_52.5405,24033320,residential,Faucherweg,0.000100
13.2337_52.5405,13.2336_52.5405,24033320,residential,Faucherweg,0.000100
13.2336_52.5405,13.2334_52.5405,24033320,residential,Faucherweg,0.000200
13.2334_52.5405,13.2331_52.5406,24033320,residential,Faucherweg,0.000316
13.2331_52.5406,13.233_52.5406,24033320,residential,Faucherweg,0.000100
13.233_52.5406,13.233_52.5406,24033320,residential,Faucherweg,0.000000
13.233_52.5406,13.233_52.5407,24033320,residential,Faucherweg,0.000100
13.233_52.5407,13.233_52.5407,1214407132,tertiary,Gartenfelder Straße,0.000000
13.233_52.5407,13.2331_52.5407,1214407132,tertiary,Gartenfelder Straße,0.000100
13.2416_52.5434,13.2416_52.5435,24033321,residential,Riensbergstraße,0.000100
13.2416_52.5434,13.2414_52.5433,536327911,tertiary,Gartenfelder Straße,0.000224
13.2416_52.5435,13.2415_52.5438,24033321,residential,Riensbergstraße,0.000316
13.2415_52.5438,13.2415_52.5442,24033321,residential,Riensbergstraße,0.000400
13.2415_52.5438,13.2415_52.5438,1200831526,service,,0.000000
13.2415_52.5442,13.2413_52.5449,24033321,residential,Riensbergstraße,0.000728
13.2415_52.5442,13.2414_52.5441,968369721,service,,0.000141
13.2413_52.5449,13.2413_52.545,24033321,residential,Riensbergstraße,0.000100
13.2412_52.545,13.2412_52.5452,24033321,residential,Riensbergstraße,0.000200
13.2412_52.5452,13.2411_52.5452,123152818,residential,Burscheider Weg,0.000100
13.2392_52.5416,13.2393_52.5416,24033322,residential,Stöckelstraße,0.000100
13.2393_52.5416,13.2405_52.5419,24033322,residential,Stöckelstraße,0.001237
13.2393_52.5416,13.2393_52.5416,967927995,service,,0.000000
13.2405_52.5419,13.2409_52.542,24033322,residential,Stöckelstraße,0.000412
13.2405_52.5419,13.2406_52.5418,125190488,residential,Berthold-Schwarz-Straße,0.000141
13.2409_52.542,13.2423_52.5424,24033322,residential,Stöckelstraße,0.001456
13.2409_52.542,13.2409_52.5421,900746111,service,,0.000100
13.2409_52.542,13.241_52.542,1204064733,service,,0.000100
13.2409_52.5467,13.2412_52.5452,24753529,residential,Riensbergstraße,0.001530
13.2463_52.5468,13.2455_52.5468,24814499,service,,0.000800
13.2455_52.5468,13.2437_52.5466,24814499,service,,0.001811
13.2437_52.5466,13.2436_52.5466,24814499,service,,0.000100
13.2437_52.5466,13.2437_52.5465,855788001,service,,0.000100
13.2436_52.5466,13.2431_52.5466,24814499,service,,0.000500
13.2135_52.5309,13.2136_52.5309,25114162,service,,0.000100
13.2136_52.5309,13.2152_52.5307,25114162,service,,0.001612
13.2152_52.5307,13.2154_52.5307,25114162,service,,0.000200
13.2154_52.5307,13.2156_52.5306,25114162,service,,0.000224
13.2156_52.5306,13.216_52.5305,25114162,service,,0.000412
13.216_52.5305,13.2162_52.5304,25114162,service,,0.000224
13.2162_52.5304,13.2181_52.5302,25114162,service,,0.001910
13.2162_52.5304,13.2162_52.5302,25114175,service,,0.000200
13.2181_52.5302,13.2179_52.5296,25114162,service,,0.000632
